COL1	TIME	ACC_X	ACC_Y	ACC_Z	GYR_X	GYR_Y	GYR_Z	MAG_X	MAG_Y	MAG_Z	LACC_X	LACC_Y	LACC_Z	QUAT_X	QUAT_Y	QUAT_Z	QUAT_W
1 0.00 0 -0.273 -9.175 3.390 0.000 0.793 2.167 554.938 44.971 3479.083 -0.148 0.034 0.119 -0.04 -0.57 0.82 0.02
1 0.01 1 -0.316 -9.161 3.232 -0.305 0.793 1.617 569.929 29.980 3344.021 -0.106 0.020 0.277 -0.04 -0.57 0.82 0.02
1 0.02 2 -0.493 -9.223 3.323 -0.549 0.885 0.824 509.968 44.971 3329.031 0.070 0.082 0.185 -0.04 -0.57 0.82 0.02
1 0.03 3 -0.412 -9.275 3.409 -0.092 0.458 1.007 419.876 104.932 3419.123 -0.011 0.135 0.099 -0.04 -0.57 0.82 0.02
1 0.04 4 -0.397 -9.165 3.371 -1.038 0.366 1.709 419.876 104.932 3419.123 -0.025 0.024 0.136 -0.04 -0.57 0.82 0.02
1 0.05 5 -0.302 -9.156 3.318 -0.793 -0.427 1.129 554.938 89.941 3479.083 -0.122 0.014 0.188 -0.04 -0.57 0.82 0.02
1 0.06 6 -0.364 -9.079 3.290 -0.641 -0.427 1.221 404.886 44.971 3434.113 -0.059 -0.062 0.216 -0.04 -0.57 0.82 0.02
1 0.07 7 -0.374 -9.194 3.362 -1.282 0.305 0.854 404.886 44.971 3434.113 -0.050 0.053 0.145 -0.04 -0.57 0.82 0.02
1 0.08 8 -0.455 -9.036 3.290 -2.686 -0.397 1.221 479.987 44.971 3359.012 0.033 -0.107 0.213 -0.04 -0.57 0.82 0.02
1 0.09 9 -0.211 -9.161 3.304 -2.625 0.153 1.404 554.938 14.990 3584.015 -0.211 0.016 0.194 -0.04 -0.57 0.82 0.02
1 0.10 10 -0.273 -9.199 3.333 -2.686 0.366 1.953 539.948 74.951 3389.142 -0.149 0.053 0.161 -0.04 -0.57 0.82 0.02
1 0.11 11 -0.412 -9.213 3.362 -2.533 0.092 1.617 539.948 74.951 3389.142 -0.010 0.066 0.129 -0.04 -0.57 0.82 0.02
1 0.12 12 -0.230 -9.242 3.295 -2.075 0.488 1.556 464.847 -29.980 3554.035 -0.192 0.093 0.192 -0.04 -0.57 0.82 0.02
1 0.13 13 -0.431 -9.218 3.333 -2.472 -0.031 0.671 539.948 179.883 3314.041 0.009 0.068 0.150 -0.04 -0.57 0.82 0.02
1 0.14 14 -0.335 -9.137 3.414 -1.617 -0.580 1.068 539.948 179.883 3314.041 -0.087 -0.015 0.066 -0.04 -0.57 0.82 0.02
1 0.15 15 -0.393 -9.228 3.199 -2.106 -0.183 0.732 479.987 -44.971 3359.012 -0.029 0.075 0.280 -0.04 -0.57 0.82 0.02
1 0.16 16 -0.426 -9.223 3.338 -2.106 -1.190 0.366 464.847 104.932 3344.021 0.006 0.069 0.135 -0.04 -0.57 0.82 0.02
1 0.17 17 -0.383 -9.170 3.160 -1.953 -0.854 0.458 554.938 44.971 3434.113 -0.035 0.015 0.310 -0.04 -0.57 0.82 0.02
1 0.18 18 -0.469 -9.165 3.381 -1.648 -1.038 0.397 554.938 44.971 3434.113 0.052 0.009 0.087 -0.04 -0.57 0.82 0.02
1 0.19 19 -0.479 -9.204 3.314 -1.007 -2.075 1.007 374.906 89.941 3404.132 0.063 0.046 0.152 -0.04 -0.57 0.82 0.02
1 0.20 20 -0.393 -9.156 3.194 -1.465 -0.610 1.740 509.968 164.893 3434.113 -0.023 -0.002 0.271 -0.04 -0.57 0.82 0.02
1 0.21 21 -0.326 -9.103 3.271 -3.174 -0.153 1.526 509.968 164.893 3434.113 -0.090 -0.056 0.192 -0.04 -0.57 0.82 0.02
1 0.22 22 -0.441 -9.194 3.333 -4.303 0.519 2.136 464.847 224.854 3344.021 0.024 0.034 0.126 -0.04 -0.57 0.82 0.02
1 0.23 23 -0.306 -9.462 3.237 -3.876 -0.549 2.899 419.876 0.000 3494.074 -0.114 0.298 0.210 -0.04 -0.57 0.82 0.02
1 0.24 24 -0.316 -9.433 3.433 -1.831 -0.702 1.984 509.968 44.971 3509.064 -0.106 0.267 0.008 -0.04 -0.57 0.82 0.02
1 0.25 25 -0.517 -9.256 3.328 -1.129 -1.129 2.625 509.968 44.971 3509.064 0.095 0.090 0.112 -0.04 -0.57 0.82 0.02
1 0.26 26 -0.302 -9.266 3.328 -1.160 -1.404 1.404 584.919 -14.990 3584.015 -0.122 0.099 0.111 -0.04 -0.57 0.82 0.02
1 0.27 27 -0.235 -9.266 3.247 -1.709 -1.099 1.617 449.857 119.922 3509.064 -0.188 0.099 0.192 -0.04 -0.57 0.82 0.02
1 0.28 28 -0.268 -9.208 3.251 -2.289 -1.068 2.655 449.857 119.922 3509.064 -0.154 0.040 0.183 -0.04 -0.57 0.82 0.02
1 0.29 29 -0.354 -9.228 3.194 -1.434 -0.214 1.373 494.978 104.932 3554.035 -0.068 0.058 0.237 -0.04 -0.57 0.82 0.02
1 0.30 30 -0.388 -9.194 3.227 -0.702 0.153 1.465 494.978 104.932 3554.035 -0.035 0.023 0.201 -0.04 -0.57 0.82 0.02
1 0.31 31 -0.397 -9.194 3.280 -2.502 -1.190 0.610 494.978 104.932 3419.123 -0.024 0.022 0.147 -0.04 -0.57 0.82 0.02
1 0.32 32 -0.196 -9.161 3.256 -1.923 -1.160 1.129 494.978 104.932 3419.123 -0.224 -0.012 0.167 -0.04 -0.57 0.82 0.02
1 0.33 33 -0.302 -9.309 3.251 -2.167 -0.305 0.916 464.847 0.000 3629.136 -0.118 0.135 0.169 -0.04 -0.57 0.82 0.02
1 0.34 34 -0.393 -9.184 3.295 -1.617 -0.824 1.343 644.880 29.980 3599.005 -0.027 0.009 0.122 -0.04 -0.57 0.82 0.02
1 0.35 35 -0.484 -9.060 3.175 -1.495 -1.221 1.099 644.880 29.980 3599.005 0.064 -0.116 0.240 -0.04 -0.57 0.82 0.02
1 0.36 36 -0.321 -9.108 3.280 -3.204 -1.587 0.641 269.974 89.941 3509.064 -0.098 -0.069 0.134 -0.04 -0.57 0.82 0.02
1 0.37 37 -0.397 -9.122 3.251 -5.035 -1.190 0.763 269.974 89.941 3509.064 -0.020 -0.056 0.159 -0.04 -0.57 0.82 0.02
1 0.38 38 -0.292 -9.266 3.271 -4.791 -1.526 1.160 509.968 119.922 3584.015 -0.121 0.083 0.126 -0.04 -0.57 0.82 0.02
1 0.39 39 -0.316 -9.252 3.184 -4.089 -2.472 0.183 509.968 119.922 3584.015 -0.095 0.066 0.205 -0.04 -0.57 0.82 0.02
1 0.40 40 -0.230 -9.309 3.247 -4.425 -2.136 0.336 479.987 119.922 3299.051 -0.178 0.121 0.137 -0.04 -0.57 0.82 0.02
1 0.41 41 -0.273 -9.242 3.194 -3.967 -2.258 0.305 494.978 29.980 3449.103 -0.131 0.051 0.183 -0.04 -0.57 0.82 0.02
1 0.42 42 -0.158 -9.410 3.271 -2.930 -1.770 1.221 494.978 29.980 3449.103 -0.243 0.217 0.102 -0.04 -0.57 0.82 0.02
1 0.43 43 -0.297 -9.477 3.184 -2.838 -0.549 0.946 494.978 29.980 3419.123 -0.102 0.282 0.184 -0.04 -0.57 0.82 0.02
1 0.44 44 -0.484 -9.400 3.247 -2.014 -0.793 1.709 494.978 29.980 3419.123 0.087 0.204 0.116 -0.04 -0.57 0.82 0.02
1 0.45 45 -0.302 -9.443 3.189 -1.160 -1.190 1.617 404.886 89.941 3434.113 -0.095 0.244 0.167 -0.04 -0.57 0.82 0.02
1 0.46 46 -0.278 -9.443 3.271 -0.763 -0.854 1.678 404.886 89.941 3434.113 -0.119 0.244 0.086 -0.04 -0.57 0.82 0.02
1 0.47 47 -0.215 -9.343 3.117 0.336 -1.343 2.106 509.968 119.922 3404.132 -0.181 0.144 0.238 -0.04 -0.57 0.82 0.02
1 0.48 48 -0.455 -9.237 3.223 1.770 -1.282 1.862 494.978 224.854 3494.074 0.059 0.038 0.132 -0.04 -0.57 0.82 0.02
1 0.49 49 -0.364 -9.304 3.218 1.526 -0.916 2.502 494.978 224.854 3494.074 -0.034 0.106 0.140 -0.04 -0.57 0.82 0.02
1 0.50 50 -0.335 -9.141 3.170 0.977 -1.465 2.167 479.987 89.941 3539.044 -0.063 -0.057 0.188 -0.04 -0.57 0.82 0.02
1 0.51 51 -0.359 -9.242 3.256 1.251 -1.556 1.892 479.987 89.941 3539.044 -0.040 0.044 0.103 -0.04 -0.57 0.82 0.02
1 0.52 52 -0.235 -9.309 3.261 1.465 -1.862 2.686 314.945 0.000 3389.142 -0.164 0.112 0.100 -0.04 -0.57 0.82 0.02
1 0.53 53 -0.364 -9.189 3.227 1.404 -2.197 2.136 314.945 0.000 3389.142 -0.035 -0.007 0.136 -0.04 -0.57 0.82 0.02
1 0.54 54 -0.220 -9.199 3.232 0.885 -1.648 2.563 479.987 89.941 3539.044 -0.179 0.003 0.132 -0.04 -0.57 0.82 0.02
1 0.55 55 -0.283 -9.204 3.170 1.312 -1.587 2.228 389.896 299.955 3494.074 -0.116 0.009 0.196 -0.04 -0.57 0.82 0.02
1 0.56 56 -0.259 -9.070 3.280 -0.092 -0.763 1.923 389.896 299.955 3494.074 -0.139 -0.125 0.087 -0.04 -0.57 0.82 0.02
1 0.57 57 -0.249 -9.275 3.232 -0.854 -0.641 2.319 479.987 239.994 3359.012 -0.148 0.081 0.135 -0.04 -0.57 0.82 0.02
1 0.58 58 -0.283 -9.252 3.328 -1.099 -0.488 2.533 479.987 239.994 3359.012 -0.114 0.057 0.039 -0.04 -0.57 0.82 0.02
1 0.59 59 -0.273 -9.319 3.204 -0.885 -0.549 2.533 509.968 239.994 3479.083 -0.125 0.124 0.163 -0.04 -0.57 0.82 0.02
1 0.60 60 -0.201 -9.266 3.266 0.336 -0.854 2.472 479.987 239.994 3479.083 -0.198 0.071 0.101 -0.04 -0.57 0.82 0.02
1 0.61 61 -0.273 -9.295 3.223 -0.458 -0.275 2.777 494.978 254.984 3419.123 -0.125 0.100 0.144 -0.04 -0.57 0.82 0.02
1 0.62 62 -0.297 -9.213 3.247 -1.312 0.366 2.167 479.987 239.994 3359.012 -0.101 0.018 0.120 -0.04 -0.57 0.82 0.02
