COL1	TIME	ACC_X	ACC_Y	ACC_Z	GYR_X	GYR_Y	GYR_Z	MAG_X	MAG_Y	MAG_Z	LACC_X	LACC_Y	LACC_Z	QUAT_X	QUAT_Y	QUAT_Z	QUAT_W
1 0.00 0 0.570 -8.844 4.343 -0.458 -1.251 0.671 164.593 2485.381 -4166.686 -0.103 0.011 -0.125 -0.01 -0.53 0.84 0.06
1 0.01 1 0.565 -8.912 4.166 -1.282 -1.587 0.336 164.593 2455.400 -4166.686 -0.098 0.078 0.052 -0.01 -0.53 0.84 0.06
1 0.02 2 0.579 -8.816 4.295 -1.984 -2.289 0.977 164.593 2455.400 -4166.686 -0.111 -0.018 -0.078 -0.01 -0.53 0.84 0.06
1 0.03 3 0.474 -8.935 4.271 -2.380 -1.495 0.275 14.690 2410.430 -4196.666 -0.005 0.102 -0.054 -0.01 -0.53 0.84 0.06
1 0.04 4 0.618 -9.055 4.252 -1.709 -1.892 0.397 149.603 2425.420 -4226.646 -0.145 0.221 -0.037 -0.01 -0.53 0.84 0.06
1 0.05 5 0.369 -8.916 4.315 -2.136 -1.678 0.519 119.622 2485.381 -4316.588 0.104 0.082 -0.100 -0.01 -0.53 0.84 0.06
1 0.06 6 0.532 -9.022 4.156 -0.641 -2.014 0.427 119.622 2485.381 -4316.588 -0.060 0.187 0.058 -0.01 -0.53 0.84 0.06
1 0.07 7 0.302 -8.873 4.133 -0.885 -1.892 1.373 149.603 2350.319 -3971.663 0.170 0.038 0.082 -0.01 -0.53 0.84 0.06
1 0.08 8 0.350 -8.950 4.271 -0.977 -1.801 0.702 149.603 2395.290 -4106.575 0.122 0.114 -0.058 -0.01 -0.53 0.84 0.06
1 0.09 9 0.417 -8.787 4.123 -0.946 -1.770 1.831 149.603 2395.290 -4106.575 0.054 -0.048 0.091 -0.01 -0.53 0.84 0.06
1 0.10 10 0.402 -8.950 4.190 -1.251 -2.106 2.075 119.622 2335.329 -4316.588 0.068 0.114 0.022 -0.01 -0.53 0.84 0.06
1 0.11 11 0.407 -9.003 4.243 -2.045 -2.045 2.075 119.622 2335.329 -4316.588 0.062 0.167 -0.030 -0.01 -0.53 0.84 0.06
1 0.12 12 0.450 -9.031 4.377 -1.038 -2.594 1.404 59.661 2410.430 -3911.552 0.017 0.194 -0.167 -0.01 -0.53 0.84 0.06
1 0.13 13 0.532 -9.065 4.137 -1.251 -2.106 2.228 59.661 2410.430 -3911.552 -0.065 0.227 0.072 -0.01 -0.53 0.84 0.06
1 0.14 14 0.417 -9.094 4.200 -1.068 -2.319 1.770 164.593 2410.430 -4136.555 0.049 0.255 0.008 -0.01 -0.53 0.84 0.06
1 0.15 15 0.517 -8.892 4.190 -0.366 -2.808 1.801 194.573 2455.400 -3956.672 -0.052 0.054 0.018 -0.01 -0.53 0.84 0.06
1 0.16 16 0.503 -9.022 4.252 -0.916 -3.052 1.862 194.573 2455.400 -3956.672 -0.037 0.184 -0.043 -0.01 -0.53 0.84 0.06
1 0.17 17 0.517 -9.055 4.142 -0.488 -3.418 1.617 -45.271 2395.290 -4181.676 -0.052 0.217 0.067 -0.01 -0.53 0.84 0.06
1 0.18 18 0.603 -9.007 4.319 -1.404 -3.510 1.709 -45.271 2395.290 -4181.676 -0.137 0.170 -0.110 -0.01 -0.53 0.84 0.06
1 0.19 19 0.421 -8.955 4.267 -1.160 -3.448 2.258 59.661 2365.309 -4241.637 0.046 0.116 -0.059 -0.01 -0.53 0.84 0.06
1 0.20 20 0.517 -8.955 4.185 -1.373 -3.510 1.862 59.661 2365.309 -4241.637 -0.050 0.116 0.022 -0.01 -0.53 0.84 0.06
1 0.21 21 0.575 -9.046 4.166 -0.916 -3.204 1.892 89.642 2410.430 -4091.584 -0.107 0.207 0.040 -0.01 -0.53 0.84 0.06
1 0.22 22 0.575 -9.046 4.156 -1.251 -3.265 1.953 14.690 2485.381 -4271.617 -0.106 0.206 0.049 -0.01 -0.53 0.84 0.06
1 0.23 23 0.517 -8.959 4.185 -1.434 -2.869 1.831 14.690 2485.381 -4271.617 -0.048 0.120 0.019 -0.01 -0.53 0.84 0.06
1 0.24 24 0.584 -8.912 4.291 -1.282 -2.228 1.434 89.642 2455.400 -4241.637 -0.115 0.071 -0.087 -0.01 -0.53 0.84 0.06
1 0.25 25 0.532 -8.859 4.128 -1.007 -2.258 1.862 89.642 2455.400 -4241.637 -0.062 0.018 0.075 -0.01 -0.53 0.84 0.06
1 0.26 26 0.431 -8.907 4.200 -1.373 -2.472 1.953 29.681 2470.391 -4151.695 0.039 0.066 0.003 -0.01 -0.53 0.84 0.06
1 0.27 27 0.441 -8.921 4.156 -1.831 -2.075 1.770 149.603 2395.290 -4226.646 0.029 0.080 0.045 -0.01 -0.53 0.84 0.06
1 0.28 28 0.522 -9.046 4.109 -1.831 -2.350 1.984 119.622 2455.400 -4241.637 -0.052 0.204 0.092 -0.01 -0.53 0.84 0.06
1 0.29 29 0.618 -8.931 4.238 -2.045 -2.319 1.862 179.583 2245.387 -4106.575 -0.149 0.088 -0.040 -0.01 -0.53 0.84 0.06
1 0.30 30 0.445 -9.007 4.013 -2.075 -1.862 2.350 179.583 2245.387 -4106.575 0.024 0.164 0.184 -0.01 -0.53 0.84 0.06
1 0.31 31 0.426 -8.844 4.147 -1.465 -1.801 1.312 89.642 2530.352 -4196.666 0.043 0.000 0.048 -0.01 -0.53 0.84 0.06
1 0.32 32 0.570 -9.050 4.142 -1.709 -1.526 1.556 89.642 2530.352 -4196.666 -0.101 0.206 0.053 -0.01 -0.53 0.84 0.06
1 0.33 33 0.503 -8.955 4.180 -1.770 -1.556 1.190 -45.271 2395.290 -4151.695 -0.034 0.110 0.014 -0.01 -0.53 0.84 0.06
1 0.34 34 0.632 -8.873 4.271 -1.923 -1.404 1.434 -0.150 2500.371 -4331.578 -0.162 0.028 -0.079 -0.01 -0.53 0.84 0.06
1 0.35 35 0.546 -8.993 4.147 -1.801 -2.014 1.617 74.651 2320.338 -4151.695 -0.075 0.148 0.046 -0.01 -0.53 0.84 0.06
1 0.36 36 0.522 -9.046 4.104 -1.892 -2.228 1.007 59.661 2455.400 -4136.555 -0.051 0.200 0.088 -0.01 -0.53 0.84 0.06
1 0.37 37 0.512 -8.998 4.089 -1.984 -2.075 0.977 59.661 2455.400 -4136.555 -0.041 0.152 0.101 -0.01 -0.53 0.84 0.06
1 0.38 38 0.503 -9.060 4.156 -1.465 -1.801 0.549 74.651 2350.319 -4106.575 -0.031 0.214 0.034 -0.01 -0.53 0.84 0.06
1 0.39 39 0.632 -9.041 4.358 -1.587 -1.648 1.160 74.651 2350.319 -4106.575 -0.160 0.194 -0.168 -0.01 -0.53 0.84 0.06
1 0.40 40 0.594 -9.122 4.233 -2.106 -1.099 0.641 14.690 2290.358 -4196.666 -0.121 0.275 -0.044 -0.01 -0.53 0.84 0.06
1 0.41 41 0.594 -9.108 4.142 -2.197 -1.221 0.366 104.632 2470.391 -4076.594 -0.119 0.261 0.046 -0.01 -0.54 0.84 0.06
1 0.42 42 0.412 -8.945 4.233 -2.197 -1.099 0.519 -45.271 2425.420 -4181.676 0.064 0.098 -0.045 -0.01 -0.54 0.84 0.06
1 0.43 43 0.603 -8.945 4.267 -1.099 -0.854 0.244 74.651 2470.391 -4151.695 -0.128 0.097 -0.080 -0.01 -0.54 0.84 0.06
1 0.44 44 0.584 -8.998 4.300 -1.465 -0.763 0.793 74.651 2470.391 -4151.695 -0.108 0.150 -0.113 -0.01 -0.54 0.84 0.06
1 0.45 45 0.474 -8.902 4.190 -1.434 -0.549 0.793 -75.251 2395.290 -4151.695 0.003 0.054 -0.003 -0.01 -0.54 0.84 0.06
1 0.46 46 0.522 -9.012 4.271 -1.099 -0.275 0.671 -75.251 2395.290 -4151.695 -0.045 0.164 -0.085 -0.01 -0.54 0.84 0.06
1 0.47 47 0.584 -9.060 4.156 -1.434 -0.244 0.366 59.661 2410.430 -4016.633 -0.106 0.212 0.029 -0.01 -0.54 0.84 0.06
1 0.48 48 0.469 -8.926 4.185 -1.495 -0.336 0.610 -15.290 2485.381 -4196.666 0.010 0.077 -0.000 -0.01 -0.54 0.84 0.06
1 0.49 49 0.460 -9.060 4.085 -1.007 -0.183 0.702 164.593 2410.430 -4061.604 0.019 0.211 0.100 -0.01 -0.54 0.84 0.06
1 0.50 50 0.551 -8.950 4.104 -0.641 0.214 0.793 149.603 2470.391 -3926.692 -0.072 0.101 0.080 -0.01 -0.54 0.84 0.06
1 0.51 51 0.532 -9.127 4.233 -0.336 -0.336 0.763 149.603 2470.391 -3926.692 -0.053 0.278 -0.049 -0.01 -0.54 0.84 0.06
1 0.52 52 0.469 -9.060 4.228 -0.458 -0.336 1.190 59.661 2455.400 -4061.604 0.010 0.210 -0.045 -0.01 -0.54 0.84 0.06
1 0.53 53 0.460 -9.026 4.161 -1.404 -0.580 1.160 59.661 2455.400 -4061.604 0.019 0.177 0.021 -0.01 -0.54 0.84 0.06
1 0.54 54 0.536 -8.931 4.104 -0.916 -0.702 0.885 89.642 2335.329 -4061.604 -0.057 0.081 0.078 -0.01 -0.54 0.84 0.06
1 0.55 55 0.570 -9.003 4.113 -1.373 -0.763 1.526 59.661 2455.400 -4166.686 -0.091 0.152 0.068 -0.01 -0.54 0.84 0.06
1 0.56 56 0.656 -8.883 4.118 -0.275 -1.099 0.610 -0.150 2395.290 -4046.614 -0.177 0.032 0.061 -0.01 -0.54 0.84 0.06
1 0.57 57 0.541 -8.854 4.171 -0.671 -0.854 1.160 74.651 2395.290 -4046.614 -0.061 0.003 0.008 -0.01 -0.54 0.84 0.06
1 0.58 58 0.527 -9.094 4.094 -0.732 -1.251 0.366 74.651 2395.290 -4046.614 -0.046 0.242 0.085 -0.01 -0.54 0.84 0.06
1 0.59 59 0.493 -8.907 4.113 -0.916 -1.709 0.977 14.690 2365.309 -4136.555 -0.012 0.055 0.065 -0.01 -0.54 0.84 0.06
1 0.60 60 0.503 -8.969 4.195 -0.610 -1.648 0.793 14.690 2365.309 -4136.555 -0.021 0.117 -0.016 -0.01 -0.54 0.84 0.06
1 0.61 61 0.546 -8.969 4.137 -1.068 -1.312 1.007 164.593 2485.381 -4166.686 -0.064 0.117 0.041 -0.01 -0.54 0.84 0.06
1 0.62 62 0.532 -9.022 4.267 -0.519 -1.221 0.916 74.651 2395.290 -4181.676 -0.050 0.170 -0.089 -0.01 -0.54 0.84 0.06
1 0.63 63 0.522 -9.055 4.137 -0.366 -0.885 1.770 104.632 2425.420 -4151.695 -0.039 0.203 0.039 -0.01 -0.54 0.84 0.06
1 0.64 64 0.445 -9.017 4.123 0.519 0.000 1.251 89.642 2335.329 -4166.686 0.037 0.165 0.054 -0.01 -0.54 0.84 0.06
1 0.65 65 0.541 -9.089 4.128 1.465 0.183 1.038 89.642 2335.329 -4166.686 -0.059 0.237 0.051 -0.01 -0.54 0.84 0.06
1 0.66 66 0.637 -8.959 4.185 0.977 0.397 1.099 104.632 2320.338 -4181.676 -0.156 0.109 -0.004 -0.01 -0.54 0.84 0.06
1 0.67 67 0.431 -8.821 4.180 0.427 0.183 1.007 104.632 2320.338 -4181.676 0.050 -0.028 0.004 -0.01 -0.54 0.84 0.06
1 0.68 68 0.512 -8.873 4.104 -0.519 0.000 0.977 -45.271 2320.338 -4046.614 -0.033 0.025 0.082 -0.01 -0.54 0.84 0.06
1 0.69 69 0.522 -8.892 4.334 -1.343 -0.214 1.343 164.593 2485.381 -4136.555 -0.043 0.044 -0.147 -0.01 -0.54 0.84 0.06
1 0.70 70 0.594 -9.003 4.219 -1.038 -0.275 1.068 29.681 2320.338 -4106.575 -0.115 0.155 -0.032 -0.01 -0.54 0.84 0.06
1 0.71 71 0.536 -8.902 4.252 -0.885 -0.397 1.221 74.651 2395.290 -4076.594 -0.057 0.054 -0.066 -0.01 -0.54 0.84 0.06
1 0.72 72 0.599 -9.079 4.109 -0.305 -0.427 0.641 74.651 2395.290 -4076.594 -0.118 0.232 0.078 -0.01 -0.54 0.84 0.06
1 0.73 73 0.455 -9.060 4.156 0.214 -0.671 0.885 89.642 2365.309 -4166.686 0.026 0.213 0.031 -0.01 -0.54 0.84 0.06
1 0.74 74 0.512 -9.017 4.276 1.007 -1.099 0.702 89.642 2365.309 -4166.686 -0.032 0.170 -0.087 -0.01 -0.53 0.84 0.06
1 0.75 75 0.637 -9.050 4.271 1.892 -0.854 0.122 59.661 2530.352 -4136.555 -0.156 0.205 -0.080 -0.01 -0.53 0.84 0.06
1 0.76 76 0.374 -9.098 4.405 1.343 -1.038 0.885 74.651 2425.420 -4046.614 0.108 0.255 -0.210 -0.01 -0.53 0.84 0.06
1 0.77 77 0.532 -8.998 4.152 1.343 -0.549 0.061 74.651 2425.420 -4046.614 -0.049 0.156 0.047 -0.01 -0.53 0.84 0.06
1 0.78 78 0.369 -8.950 4.257 -0.305 0.122 0.580 74.651 2425.420 -4181.676 0.114 0.110 -0.053 -0.01 -0.53 0.84 0.06
1 0.79 79 0.508 -8.955 4.190 -0.580 0.183 -0.061 74.651 2425.420 -4181.676 -0.026 0.116 0.015 -0.01 -0.53 0.84 0.06
1 0.80 80 0.536 -8.878 4.286 -1.373 0.061 0.000 -15.290 2365.309 -4166.686 -0.054 0.039 -0.080 -0.01 -0.53 0.84 0.06
1 0.81 81 0.321 -8.816 4.252 -0.671 0.244 0.031 -15.290 2365.309 -4166.686 0.162 -0.023 -0.047 -0.01 -0.53 0.84 0.06
1 0.82 82 0.393 -8.950 4.247 -0.214 -0.366 0.671 74.651 2395.290 -4076.594 0.090 0.112 -0.041 -0.01 -0.53 0.84 0.06
