COL1	TIME	ACC_X	ACC_Y	ACC_Z	GYR_X	GYR_Y	GYR_Z	MAG_X	MAG_Y	MAG_Z	LACC_X	LACC_Y	LACC_Z	QUAT_X	QUAT_Y	QUAT_Z	QUAT_W
1 0.00 0 0.570 -8.902 4.219 -0.214 1.434 0.641 -260.980 2212.409 -3813.216 -0.173 0.032 -0.071 -0.03 0.54 -0.84 0
1 0.01 1 0.388 -8.912 4.315 -0.336 1.221 0.641 -260.980 2212.409 -3813.216 0.009 0.042 -0.166 -0.03 0.54 -0.84 0
1 0.02 2 0.412 -9.003 4.243 0.122 0.671 -0.122 -275.970 2197.418 -3828.206 -0.015 0.134 -0.092 -0.03 0.54 -0.84 0
1 0.03 3 0.374 -8.983 4.252 -0.580 0.916 0.366 -275.970 2197.418 -3828.206 0.023 0.115 -0.100 -0.03 0.54 -0.84 0
1 0.04 4 0.364 -8.926 4.219 -0.763 1.160 0.214 -231.000 2197.418 -3828.206 0.032 0.058 -0.066 -0.03 0.54 -0.84 0
1 0.05 5 0.503 -9.022 4.415 -0.305 1.190 0.397 -216.009 2257.379 -3813.216 -0.107 0.154 -0.262 -0.03 0.54 -0.84 0
1 0.06 6 0.383 -8.964 4.353 -0.519 1.556 0.793 -216.009 2257.379 -3813.216 0.013 0.097 -0.198 -0.03 0.54 -0.84 0
1 0.07 7 0.393 -8.916 4.214 -0.305 1.129 0.885 -290.960 2137.308 -3948.128 0.002 0.050 -0.058 -0.03 0.54 -0.84 0
1 0.08 8 0.474 -8.878 4.247 -0.305 1.495 0.854 -290.960 2137.308 -3948.128 -0.079 0.012 -0.090 -0.03 0.54 -0.84 0
1 0.09 9 0.407 -8.816 4.257 -1.068 1.343 0.336 -351.071 2122.317 -3798.226 -0.014 -0.049 -0.097 -0.03 0.54 -0.84 0
1 0.10 10 0.479 -8.868 4.348 -0.183 1.434 0.854 -351.071 2122.317 -3798.226 -0.086 0.004 -0.187 -0.03 0.54 -0.84 0
1 0.11 11 0.374 -8.983 4.271 -1.038 1.221 0.214 -171.039 2047.366 -3828.206 0.018 0.120 -0.110 -0.03 0.54 -0.84 0
1 0.12 12 0.345 -8.873 4.257 -0.488 1.434 0.153 -186.029 2062.356 -3888.167 0.047 0.010 -0.095 -0.03 0.54 -0.84 0
1 0.13 13 0.397 -8.892 4.271 -0.183 1.343 0.549 -186.029 2062.356 -3888.167 -0.006 0.029 -0.108 -0.03 0.54 -0.84 0
1 0.14 14 0.321 -8.940 4.276 -0.488 1.160 -0.061 -216.009 2017.386 -3813.216 0.069 0.078 -0.112 -0.03 0.54 -0.84 0
1 0.15 15 0.345 -8.912 4.243 -0.519 0.519 0.854 -216.009 2017.386 -3813.216 0.045 0.050 -0.077 -0.03 0.54 -0.84 0
1 0.16 16 0.340 -8.940 4.276 -0.427 0.946 0.366 -335.931 2092.337 -3738.265 0.048 0.079 -0.109 -0.03 0.54 -0.84 0
1 0.17 17 0.326 -8.840 4.267 -0.427 0.519 -0.061 -335.931 2092.337 -3738.265 0.063 -0.021 -0.099 -0.03 0.54 -0.84 0
1 0.18 18 0.536 -8.979 4.190 -1.038 0.519 0.458 -366.062 2062.356 -3738.265 -0.149 0.118 -0.021 -0.03 0.54 -0.84 0
1 0.19 19 0.455 -8.907 4.238 -0.610 0.702 0.275 -216.009 2212.409 -3918.147 -0.067 0.046 -0.069 -0.03 0.54 -0.84 0
1 0.20 20 0.508 -8.859 4.247 -1.038 0.031 0.671 -216.009 2212.409 -3918.147 -0.120 -0.002 -0.078 -0.03 0.54 -0.84 0
