COL1	TIME	ACC_X	ACC_Y	ACC_Z	GYR_X	GYR_Y	GYR_Z	MAG_X	MAG_Y	MAG_Z	LACC_X	LACC_Y	LACC_Z	QUAT_X	QUAT_Y	QUAT_Z	QUAT_W
1 0.00 0 -0.091 -10.693 3.601 3.662 -10.315 2.441 -301.753 2534.249 -3537.695 0.536 1.239 -1.059 -0.04 0.61 -0.79 0.02
1 0.01 1 -0.527 -10.549 3.261 14.343 -5.890 6.775 -316.744 2564.229 -3627.637 0.970 1.097 -0.711 -0.05 0.61 -0.79 0.02
1 0.02 2 -1.034 -9.912 2.524 40.527 -2.991 12.909 -316.744 2564.229 -3627.637 1.468 0.467 0.053 -0.04 0.61 -0.79 0.02
1 0.03 3 -1.092 -10.080 2.265 44.891 -9.033 13.367 -316.744 2744.262 -3552.686 1.499 0.648 0.364 -0.04 0.6 -0.8 0.02
1 0.04 4 0.057 -10.276 2.318 24.078 -27.008 20.111 -376.705 2609.200 -3672.607 0.298 0.873 0.419 -0.04 0.6 -0.8 0.03
1 0.05 5 0.766 -10.070 2.959 16.907 -25.330 25.055 -376.705 2609.200 -3672.607 -0.435 0.673 -0.198 -0.04 0.6 -0.8 0.03
1 0.06 6 0.613 -9.649 2.921 20.538 -13.062 26.672 -466.646 2504.269 -3492.725 -0.307 0.258 -0.138 -0.04 0.6 -0.8 0.03
1 0.07 7 0.077 -9.280 2.615 32.440 0.977 27.832 -466.646 2504.269 -3492.725 0.197 -0.102 0.202 -0.04 0.6 -0.8 0.03
1 0.08 8 -0.977 -9.041 1.609 41.321 -2.319 23.346 -331.734 2579.220 -3642.627 1.211 -0.328 1.258 -0.04 0.59 -0.8 0.04
1 0.09 9 -1.058 -8.844 1.580 35.034 -21.210 20.050 -331.734 2579.220 -3642.627 1.252 -0.508 1.341 -0.04 0.59 -0.8 0.04
1 0.10 10 -0.915 -8.691 1.762 23.254 -36.926 18.311 -436.666 2504.269 -3702.588 1.076 -0.648 1.203 -0.04 0.59 -0.81 0.04
1 0.11 11 -0.469 -8.667 1.863 18.555 -41.535 18.158 -301.753 2579.220 -3777.689 0.610 -0.663 1.130 -0.04 0.59 -0.81 0.04
1 0.12 12 -0.374 -8.490 1.858 24.719 -36.102 17.151 -301.753 2579.220 -3777.689 0.489 -0.827 1.177 -0.04 0.59 -0.81 0.05
1 0.13 13 -0.086 -7.935 1.623 32.593 -33.661 15.656 -331.734 2354.216 -3597.656 0.194 -1.370 1.450 -0.04 0.58 -0.81 0.05
1 0.14 14 0.335 -7.413 1.355 37.323 -35.095 11.871 -331.734 2354.216 -3597.656 -0.232 -1.876 1.766 -0.05 0.58 -0.81 0.06
1 0.15 15 1.082 -6.991 1.494 35.309 -38.635 5.585 -511.767 2384.197 -3747.708 -0.977 -2.280 1.680 -0.05 0.58 -0.81 0.06
1 0.16 16 2.145 -7.154 2.140 17.883 -35.706 -3.723 -511.767 2384.197 -3747.708 -2.026 -2.101 1.080 -0.05 0.58 -0.81 0.06
1 0.17 17 2.825 -7.724 2.773 -14.252 -29.968 -7.050 -436.666 2429.167 -3822.660 -2.684 -1.520 0.479 -0.05 0.58 -0.81 0.06
1 0.18 18 2.959 -8.399 2.983 -51.605 -19.440 -6.592 -376.705 2384.197 -3777.689 -2.793 -0.847 0.260 -0.05 0.58 -0.81 0.06
1 0.19 19 2.078 -9.539 2.509 -69.641 -4.822 -6.439 -376.705 2384.197 -3777.689 -1.845 0.240 0.576 -0.06 0.58 -0.81 0.06
1 0.20 20 1.288 -10.329 1.915 -50.812 -9.369 -6.470 -436.666 2384.197 -3702.588 -1.029 0.999 1.073 -0.06 0.59 -0.81 0.06
1 0.21 21 0.814 -10.592 2.006 -21.912 -20.935 -5.096 -436.666 2384.197 -3702.588 -0.531 1.241 0.911 -0.06 0.59 -0.8 0.06
1 0.22 22 1.111 -10.161 2.064 -0.488 -34.241 -5.157 -511.767 2534.249 -3597.656 -0.807 0.802 0.825 -0.06 0.59 -0.8 0.06
1 0.23 23 2.495 -9.438 2.969 -2.777 -39.490 -6.165 -511.767 2534.249 -3597.656 -2.161 0.077 -0.087 -0.07 0.59 -0.8 0.06
1 0.24 24 2.998 -9.376 3.256 -21.454 -25.024 -5.859 -466.646 2534.249 -3642.627 -2.627 0.015 -0.381 -0.07 0.59 -0.8 0.06
1 0.25 25 2.902 -9.836 3.472 -38.391 -2.716 -3.540 -541.747 2534.249 -3672.607 -2.492 0.469 -0.620 -0.07 0.59 -0.8 0.06
