COL1	TIME	ACC_X	ACC_Y	ACC_Z	GYR_X	GYR_Y	GYR_Z	MAG_X	MAG_Y	MAG_Z	LACC_X	LACC_Y	LACC_Z	QUAT_X	QUAT_Y	QUAT_Z	QUAT_W
1 0.00 0 -0.172 -9.630 1.647 -4.303 -3.357 4.395 -67.906 3192.470 -3175.381 -0.235 -0.061 -0.247 -0.01 0.65 -0.75 0.05
1 0.01 1 -0.254 -9.831 1.714 -4.883 -2.319 5.127 111.977 3117.369 -3175.381 -0.157 0.140 -0.319 -0.01 0.65 -0.75 0.05
1 0.02 2 -0.172 -9.754 1.652 -4.334 -2.502 5.646 111.977 3117.369 -3175.381 -0.245 0.062 -0.261 -0.01 0.65 -0.75 0.05
1 0.03 3 -0.340 -9.850 1.671 -3.357 -2.960 6.378 -37.925 3072.398 -3250.482 -0.083 0.158 -0.286 -0.01 0.66 -0.75 0.05
1 0.04 4 -0.455 -9.716 1.499 -3.143 -3.082 6.348 37.026 3072.398 -2950.378 0.016 0.023 -0.121 -0.01 0.66 -0.75 0.05
1 0.05 5 -0.522 -9.855 1.551 -3.418 -4.028 6.012 37.026 3072.398 -2950.378 0.074 0.162 -0.177 -0.01 0.66 -0.75 0.05
1 0.06 6 -0.565 -9.706 1.408 -4.059 -5.493 5.829 37.026 3117.369 -3055.459 0.108 0.014 -0.037 -0.01 0.66 -0.75 0.05
1 0.07 7 -0.421 -9.860 1.580 -5.219 -6.805 4.974 37.026 3117.369 -3055.459 -0.043 0.166 -0.214 -0.01 0.66 -0.75 0.05
1 0.08 8 -0.402 -9.860 1.480 -5.157 -6.989 4.486 96.987 3102.379 -3295.453 -0.067 0.166 -0.119 -0.01 0.66 -0.75 0.05
1 0.09 9 -0.460 -9.869 1.614 -3.876 -7.416 4.334 96.987 3102.379 -3295.453 -0.014 0.175 -0.259 -0.01 0.66 -0.75 0.05
1 0.10 10 -0.565 -9.850 1.528 -3.265 -7.965 3.815 -127.867 3207.460 -3145.401 0.087 0.155 -0.177 -0.01 0.66 -0.75 0.05
1 0.11 11 -0.484 -9.807 1.551 -3.265 -9.460 2.350 -67.906 3147.350 -2995.349 -0.001 0.112 -0.207 -0.01 0.66 -0.75 0.05
1 0.12 12 -0.455 -10.037 1.508 -3.540 -10.345 2.563 -67.906 3147.350 -2995.349 -0.031 0.341 -0.166 -0.01 0.66 -0.75 0.05
1 0.13 13 -0.445 -9.860 1.604 -1.587 -11.231 2.747 201.918 2937.336 -3115.420 -0.042 0.164 -0.264 -0.01 0.66 -0.75 0.05
1 0.14 14 -0.239 -9.797 1.595 -0.580 -12.512 2.655 201.918 2937.336 -3115.420 -0.250 0.102 -0.254 -0.01 0.66 -0.75 0.05
1 0.15 15 -0.292 -9.831 1.547 -1.282 -13.306 2.411 -142.857 3147.350 -3175.381 -0.197 0.136 -0.205 -0.01 0.66 -0.75 0.05
1 0.16 16 -0.129 -9.860 1.599 -0.610 -13.977 2.258 -142.857 3147.350 -3175.381 -0.359 0.164 -0.257 -0.01 0.66 -0.75 0.05
1 0.17 17 -0.144 -9.754 1.575 -0.183 -13.367 2.350 37.026 3192.470 -3100.430 -0.343 0.059 -0.231 -0.02 0.66 -0.75 0.06
1 0.18 18 0.043 -9.721 1.633 -0.488 -12.695 2.289 -37.925 3117.369 -3205.362 -0.527 0.026 -0.286 -0.02 0.66 -0.75 0.06
1 0.19 19 0.096 -9.673 1.456 -1.495 -12.116 2.136 -37.925 3117.369 -3205.362 -0.575 -0.022 -0.106 -0.02 0.66 -0.75 0.06
1 0.20 20 0.072 -9.927 1.508 -0.946 -10.834 2.747 -37.925 3192.470 -3100.430 -0.548 0.232 -0.158 -0.02 0.66 -0.75 0.06
1 0.21 21 0.077 -9.697 1.518 0.000 -10.681 2.991 -37.925 3192.470 -3100.430 -0.550 0.002 -0.167 -0.02 0.66 -0.75 0.06
1 0.22 22 -0.014 -9.654 1.360 -1.404 -9.491 2.747 -52.916 3252.431 -3085.440 -0.458 -0.041 -0.007 -0.02 0.66 -0.75 0.06
1 0.23 23 -0.024 -9.706 1.475 -2.014 -8.606 2.686 -52.916 3252.431 -3085.440 -0.447 0.011 -0.124 -0.02 0.66 -0.75 0.06
1 0.24 24 -0.053 -9.721 1.398 -1.648 -8.240 3.204 -67.906 3042.418 -3055.459 -0.417 0.026 -0.048 -0.02 0.66 -0.75 0.06
1 0.25 25 -0.067 -9.812 1.470 -1.465 -7.843 2.777 -97.886 3132.359 -3265.473 -0.402 0.116 -0.122 -0.02 0.66 -0.75 0.06
1 0.26 26 0.024 -9.879 1.389 -2.228 -6.500 3.448 -97.886 3132.359 -3265.473 -0.492 0.183 -0.043 -0.02 0.66 -0.75 0.06
1 0.27 27 -0.110 -9.745 1.456 -2.228 -6.042 2.228 -112.876 2967.467 -3250.482 -0.357 0.048 -0.113 -0.02 0.66 -0.75 0.06
1 0.28 28 -0.120 -9.687 1.370 -1.740 -6.287 2.228 -112.876 2967.467 -3250.482 -0.346 -0.009 -0.029 -0.02 0.66 -0.75 0.06
1 0.29 29 -0.014 -9.769 1.408 -2.533 -5.554 2.350 -52.916 3132.359 -3220.352 -0.450 0.072 -0.069 -0.02 0.66 -0.75 0.06
1 0.30 30 0.110 -9.932 1.365 -3.326 -4.456 2.380 -97.886 3207.460 -3145.401 -0.574 0.234 -0.030 -0.02 0.66 -0.75 0.06
1 0.31 31 0.081 -9.850 1.408 -2.289 -2.747 2.625 -112.876 3147.350 -3055.459 -0.544 0.152 -0.077 -0.02 0.66 -0.75 0.06
1 0.32 32 0.048 -9.788 1.389 -0.549 -0.366 3.265 -22.935 3102.379 -3085.440 -0.510 0.089 -0.061 -0.02 0.66 -0.75 0.06
1 0.33 33 0.120 -9.884 1.173 -1.740 1.099 3.387 -22.935 3102.379 -3085.440 -0.582 0.185 0.153 -0.02 0.66 -0.75 0.06
1 0.34 34 0.005 -9.946 1.484 -1.038 2.319 2.533 -37.925 3117.369 -3100.430 -0.468 0.247 -0.162 -0.02 0.66 -0.75 0.06
1 0.35 35 -0.101 -9.922 1.307 -0.580 3.723 2.533 -37.925 3117.369 -3100.430 -0.363 0.223 0.014 -0.02 0.66 -0.75 0.06
1 0.36 36 -0.053 -10.008 1.379 0.031 4.852 2.411 -142.857 3117.369 -3100.430 -0.412 0.309 -0.058 -0.02 0.66 -0.75 0.06
1 0.37 37 -0.139 -10.066 1.528 1.923 4.456 2.167 -67.906 3117.369 -3205.362 -0.327 0.366 -0.207 -0.02 0.66 -0.75 0.06
1 0.38 38 -0.139 -9.841 1.465 1.740 5.127 1.556 -7.945 2967.467 -3250.482 -0.329 0.142 -0.142 -0.02 0.66 -0.75 0.06
1 0.39 39 -0.153 -9.817 1.461 2.258 4.425 1.221 -202.818 3102.379 -3265.473 -0.315 0.118 -0.133 -0.02 0.66 -0.75 0.06
1 0.40 40 0.057 -9.884 1.571 2.258 4.486 0.641 -202.818 3102.379 -3265.473 -0.526 0.186 -0.235 -0.02 0.66 -0.75 0.06
1 0.41 41 -0.024 -9.879 1.537 3.265 5.066 0.854 -7.945 3147.350 -3175.381 -0.443 0.182 -0.196 -0.02 0.66 -0.75 0.06
1 0.42 42 -0.192 -9.884 1.537 4.242 5.615 0.488 -7.945 3147.350 -3175.381 -0.273 0.188 -0.190 -0.02 0.66 -0.75 0.06
1 0.43 43 -0.268 -9.726 1.441 4.242 5.219 -0.183 -187.828 3147.350 -3175.381 -0.196 0.031 -0.087 -0.02 0.66 -0.75 0.06
1 0.44 44 -0.287 -9.898 1.580 3.540 4.974 -1.099 -97.886 3252.431 -3145.401 -0.175 0.204 -0.220 -0.02 0.66 -0.75 0.06
1 0.45 45 -0.397 -10.181 1.513 4.150 4.242 -1.373 -67.906 2997.447 -3175.381 -0.063 0.487 -0.146 -0.02 0.66 -0.75 0.06
1 0.46 46 -0.508 -10.310 1.662 5.981 3.693 -2.899 -7.945 3192.470 -3130.411 0.049 0.617 -0.288 -0.02 0.66 -0.75 0.06
1 0.47 47 -0.560 -10.358 1.839 7.660 1.587 -3.113 -7.945 3192.470 -3130.411 0.105 0.666 -0.456 -0.02 0.66 -0.75 0.06
1 0.48 48 -0.383 -10.171 1.743 11.627 -0.153 -5.219 -7.945 3117.369 -3130.411 -0.062 0.483 -0.332 -0.02 0.65 -0.75 0.06
1 0.49 49 -0.522 -9.960 1.882 13.519 -0.549 -7.965 -7.945 3117.369 -3130.411 0.086 0.275 -0.451 -0.02 0.65 -0.75 0.06
1 0.50 50 -0.690 -9.888 1.767 11.871 -0.610 -10.681 -187.828 3117.369 -3250.482 0.266 0.206 -0.314 -0.02 0.65 -0.76 0.06
1 0.51 51 -0.819 -9.817 1.815 11.261 -4.028 -13.550 -37.925 2997.447 -3175.381 0.411 0.136 -0.342 -0.02 0.65 -0.76 0.05
1 0.52 52 -0.503 -9.922 1.757 11.719 -9.430 -13.397 -52.916 3057.408 -3190.372 0.113 0.244 -0.265 -0.02 0.65 -0.76 0.05
1 0.53 53 -0.311 -9.754 1.647 11.688 -11.566 -12.238 -112.876 2997.447 -3250.482 -0.058 0.079 -0.136 -0.02 0.65 -0.76 0.05
1 0.54 54 0.062 -9.759 1.571 11.231 -13.123 -10.498 -112.876 2997.447 -3250.482 -0.411 0.086 -0.040 -0.02 0.65 -0.76 0.05
1 0.55 55 0.263 -9.577 1.475 9.308 -15.076 -7.904 -112.876 3042.418 -3100.430 -0.572 -0.092 0.090 -0.02 0.65 -0.76 0.05
1 0.56 56 0.283 -9.338 1.355 8.575 -15.259 -5.524 -112.876 3042.418 -3100.430 -0.572 -0.330 0.224 -0.03 0.65 -0.76 0.05
1 0.57 57 0.517 -9.290 1.240 7.324 -15.472 -3.754 -127.867 3102.379 -3265.473 -0.792 -0.376 0.351 -0.03 0.65 -0.76 0.05
1 0.58 58 0.532 -9.242 1.250 6.531 -16.632 -0.610 -37.925 3072.398 -3250.482 -0.793 -0.423 0.350 -0.03 0.65 -0.76 0.05
1 0.59 59 0.982 -9.156 1.202 4.944 -14.740 3.906 -37.925 3042.418 -3280.463 -1.233 -0.508 0.406 -0.03 0.65 -0.76 0.05
1 0.60 60 1.168 -9.055 1.144 3.174 -12.177 6.409 -142.857 3042.418 -3355.414 -1.413 -0.608 0.469 -0.03 0.65 -0.76 0.05
1 0.61 61 1.317 -9.098 0.967 2.106 -9.552 8.850 -142.857 3042.418 -3355.414 -1.558 -0.565 0.649 -0.03 0.65 -0.76 0.06
1 0.62 62 1.417 -9.156 1.034 2.075 -5.615 12.451 -172.837 2907.356 -3190.372 -1.657 -0.507 0.582 -0.03 0.65 -0.76 0.06
1 0.63 63 1.355 -9.003 1.221 -1.678 3.937 15.472 -172.837 2907.356 -3190.372 -1.606 -0.660 0.393 -0.03 0.65 -0.76 0.06
1 0.64 64 1.125 -9.113 1.346 -4.150 11.902 15.595 -37.925 2967.467 -3310.443 -1.388 -0.551 0.263 -0.03 0.65 -0.76 0.06
1 0.65 65 0.666 -9.386 1.317 -6.317 18.311 14.618 -307.899 3102.379 -3340.424 -0.943 -0.279 0.282 -0.03 0.65 -0.76 0.06
1 0.66 66 0.235 -9.745 1.403 -7.629 23.316 14.099 -26.683 3061.905 -3388.393 -0.530 0.078 0.183 -0.03 0.65 -0.76 0.06
1 0.67 67 -0.048 -10.037 1.427 -5.676 28.961 13.550 -116.774 3001.794 -3343.422 -0.269 0.369 0.146 -0.03 0.65 -0.76 0.06
1 0.68 68 -0.374 -9.903 1.528 -5.219 32.288 11.932 -116.774 3001.794 -3343.422 0.033 0.234 0.033 -0.02 0.65 -0.76 0.05
1 0.69 69 -0.632 -9.970 1.551 -6.744 32.806 10.895 -56.663 3016.785 -3253.480 0.269 0.300 -0.001 -0.02 0.65 -0.76 0.05
1 0.70 70 -0.915 -10.118 1.647 -8.637 29.755 8.881 -56.663 3016.785 -3253.480 0.502 0.446 -0.123 -0.02 0.65 -0.76 0.05
1 0.71 71 -0.872 -10.204 1.657 -8.698 26.459 7.446 18.138 3061.905 -3133.409 0.435 0.531 -0.147 -0.01 0.65 -0.76 0.05
1 0.72 72 -0.709 -10.343 1.705 -6.928 24.750 6.653 -56.663 2941.833 -3283.461 0.252 0.669 -0.209 -0.01 0.65 -0.76 0.05
1 0.73 73 -0.646 -10.190 1.614 -4.425 22.736 5.707 -56.663 2941.833 -3283.461 0.172 0.515 -0.128 -0.01 0.65 -0.76 0.05
1 0.74 74 -0.584 -10.018 1.551 -3.967 20.050 4.150 -176.735 3016.785 -3208.510 0.096 0.342 -0.073 -0.01 0.65 -0.76 0.05
1 0.75 75 -0.369 -10.003 1.585 -3.479 16.754 3.540 89.792 3065.203 -3275.366 -0.130 0.327 -0.114 -0.01 0.65 -0.76 0.05
1 0.76 76 -0.268 -9.999 1.724 -1.282 15.839 2.991 14.690 3065.203 -3200.265 -0.240 0.322 -0.259 -0.01 0.65 -0.76 0.05
1 0.77 77 -0.311 -9.697 1.796 0.214 16.052 1.770 14.690 3065.203 -3200.265 -0.209 0.021 -0.333 -0 0.65 -0.76 0.04
1 0.78 78 -0.460 -9.754 1.801 -0.946 15.381 0.214 14.690 2990.252 -3275.366 -0.065 0.078 -0.337 -0 0.65 -0.76 0.04
